Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Arizona,0.6,0.758,0.5,69,16.9,12.2,1.111,115.7,0.944,94.7,0.167,21,81.2,69,12.2,1.153,0.996,0.157,0.482,0.413,0.069,0.383,0.723,0.565,0.067,0.174,0.158,-0.016,0.079,0.246
Austin Peay,0.489,0.485,0.6,216,0.1,-2.4,1.032,103.3,1.064,108.4,-0.032,-5.1,74.7,77.1,-2.4,1.099,1.127,-0.028,0.459,0.463,-0.004,0.349,0.67,0.511,0.095,0.2,0.184,-0.016,0.046,0.248
Baylor,0.602,0.656,0.667,33,16,6.7,1.102,117.8,1.006,98.7,0.096,19.1,76.3,69.6,6.7,1.112,1.091,0.021,0.463,0.448,0.015,0.374,0.727,0.554,0.111,0.185,0.194,0.009,0.073,0.264
Buffalo,0.543,0.562,0.5,122,0.2,0.6,1.028,104.8,1.02,101.8,0.008,3,77,76.4,0.6,1.078,1.074,0.004,0.436,0.438,-0.002,0.334,0.707,0.516,0.089,0.184,0.172,-0.012,0.058,0.308
Butler,0.576,0.677,0.667,64,14.5,9.4,1.111,116.9,0.982,99.6,0.129,17.3,80.6,71.2,9.4,1.127,1.062,0.065,0.466,0.431,0.035,0.387,0.731,0.526,0.093,0.142,0.182,0.04,0.059,0.273
CS Bakersfld,0.522,0.714,0.25,334,5.8,8.7,1.024,102.9,0.901,96.7,0.123,6.2,72.3,63.6,8.7,1.049,0.984,0.065,0.447,0.393,0.054,0.346,0.655,0.525,0.111,0.176,0.211,0.035,0.095,0.316
California,0.618,0.697,0.5,46,18.1,8.1,1.062,111.4,0.947,93.1,0.115,18.3,75.1,67,8.1,1.104,0.971,0.133,0.462,0.393,0.069,0.369,0.656,0.545,0.058,0.171,0.136,-0.035,0.082,0.279
Chattanooga,0.58,0.844,1,256,1,7.7,1.078,106.3,0.967,99.8,0.111,6.5,74.8,67.1,7.7,1.12,1.049,0.071,0.451,0.438,0.013,0.361,0.733,0.52,0.106,0.176,0.198,0.022,0.085,0.267
Cincinnati,0.581,0.688,0.5,77,12.2,10.3,1.061,110,0.911,93,0.15,17,73.2,62.9,10.3,1.05,0.965,0.085,0.428,0.39,0.038,0.345,0.704,0.532,0.115,0.16,0.199,0.039,0.101,0.234
Colorado,0.589,0.656,0.583,71,8.8,4.8,1.031,107.7,0.966,94.8,0.065,12.9,75.4,70.7,4.7,1.062,1.008,0.054,0.421,0.418,0.003,0.389,0.737,0.556,0.071,0.183,0.149,-0.034,0.084,0.263
Connecticut,0.582,0.688,0.333,73,11.2,10.1,1.062,110.8,0.916,92.1,0.146,18.7,73.3,63.3,10,1.112,0.96,0.152,0.458,0.383,0.075,0.36,0.784,0.514,0.085,0.161,0.177,0.016,0.089,0.258
Dayton,0.61,0.806,0.846,83,8.7,7.7,1.033,105.5,0.924,92.9,0.109,12.6,73,65.3,7.7,1.103,0.992,0.111,0.46,0.404,0.056,0.348,0.671,0.54,0.082,0.183,0.174,-0.009,0.077,0.266
Duke,0.609,0.697,0.4,6,14.2,9.4,1.154,120.8,1.021,98.9,0.133,21.9,81.5,72.1,9.4,1.144,1.037,0.107,0.459,0.445,0.014,0.387,0.722,0.499,0.091,0.139,0.171,0.032,0.066,0.256
F Dickinson,0.481,0.548,0.636,303,-7.3,-1.7,1.034,103.3,1.057,114,-0.023,-10.7,76.8,78.5,-1.7,1.093,1.12,-0.027,0.456,0.456,0,0.365,0.699,0.461,0.099,0.175,0.205,0.03,0.044,0.298
Fla Gulf Cst,0.475,0.552,0.6,338,0.4,2.7,1.034,102.4,0.997,102.5,0.037,-0.1,75.6,72.9,2.7,1.073,1.035,0.038,0.47,0.424,0.046,0.346,0.645,0.526,0.084,0.166,0.158,-0.008,0.067,0.271
Fresno St,0.562,0.71,0.778,153,6.9,3.4,1.027,106.3,0.98,99.7,0.047,6.6,74.8,71.4,3.4,1.04,1.06,-0.02,0.432,0.42,0.012,0.34,0.691,0.503,0.111,0.144,0.203,0.059,0.068,0.305
Gonzaga,0.583,0.781,0.5,104,15.9,12.8,1.135,115.2,0.953,94.4,0.182,20.8,79.5,66.8,12.7,1.178,0.971,0.207,0.486,0.401,0.085,0.377,0.76,0.548,0.071,0.161,0.144,-0.017,0.05,0.234
WI-Grn Bay,0.532,0.636,0.5,170,4.8,2.7,1.046,107.2,1.012,103.5,0.034,3.7,83.2,80.5,2.7,1.062,1.094,-0.032,0.444,0.45,-0.006,0.35,0.657,0.489,0.117,0.151,0.204,0.053,0.073,0.252
Hampton,0.502,0.655,0.727,326,-7.8,0.5,0.991,98.6,0.984,106,0.007,-7.4,74.8,74.2,0.6,1.011,1.046,-0.035,0.417,0.425,-0.008,0.311,0.647,0.53,0.07,0.186,0.167,-0.019,0.062,0.282
Hawaii,0.552,0.828,0.6,271,7.6,11,1.063,107.1,0.912,95,0.151,12.1,77.6,66.6,11,1.121,0.992,0.129,0.46,0.397,0.063,0.329,0.686,0.531,0.107,0.176,0.195,0.019,0.07,0.27
Holy Cross,0.451,0.424,0.571,207,-1.3,-4.3,0.97,96,1.035,107.4,-0.065,-11.4,65.3,69.7,-4.4,1.032,1.128,-0.096,0.413,0.457,-0.044,0.327,0.693,0.458,0.096,0.162,0.195,0.033,0.047,0.255
Indiana,0.603,0.781,0.375,68,18.6,13.4,1.167,120.6,0.977,97.6,0.19,23,82.3,68.9,13.4,1.22,1.041,0.179,0.501,0.442,0.059,0.415,0.723,0.553,0.099,0.192,0.185,-0.007,0.068,0.276
Iona,0.556,0.688,0.2,131,10.1,5.9,1.073,109.4,0.993,102.3,0.08,7.1,79.6,73.7,5.9,1.133,1.042,0.091,0.456,0.421,0.035,0.372,0.712,0.496,0.102,0.172,0.19,0.018,0.068,0.257
Iowa,0.596,0.677,0.25,22,10.5,9.4,1.097,115,0.965,94.8,0.132,20.2,78.1,68.7,9.4,1.101,1.001,0.1,0.45,0.415,0.035,0.382,0.719,0.509,0.096,0.146,0.184,0.038,0.078,0.235
Iowa State,0.606,0.656,0.364,7,14.1,6.9,1.109,120.1,1.016,99.2,0.093,20.9,81.8,75,6.8,1.174,1.037,0.137,0.502,0.435,0.067,0.38,0.706,0.499,0.083,0.157,0.168,0.011,0.065,0.218
Kansas,0.673,0.875,1,14,25.4,12.8,1.123,119,0.945,89.3,0.178,29.7,80.3,67.5,12.8,1.171,0.996,0.175,0.488,0.398,0.09,0.418,0.7,0.532,0.094,0.171,0.184,0.013,0.07,0.242
