,Year,Team,effective-field-goal-pct,ftm-per-100-possessions,offensive-rebounding-pct,defensive-rebounding-pct,assists-per-fgm,effective-possession-ratio,RPI,win-pct-all-games,win-pct-close-games,SOS,Last 10,average-scoring-margin,offensive-efficiency,AdjO,defensive-efficiency,AdjD,EffM,AdjEM,points-per-game,opponent-points-per-game,PFAM,true-shooting-percentage,opponent-true-shooting-percentage,TS%M,shooting-pct,opponent-shooting-pct,FG%M,three-point-pct,free-throw-pct,total-rebounding-percentage,steals-perpossession,turnovers-per-possession,opponent-turnovers-per-possession,TOM,block-pct,personal-fouls-per-possession
0,2008,American,52.2%,23.219,30.6%,72.5%,0.559,0.911,,0.636,0.500,,,+2.8,1.027,,0.983,,,,64.8,62.1,,112.8%,104.7%,,44.0%,41.5%,,40.8%,73.9%,52.2%,7.3%,21.4%,18.8%,,5.3%,28.2%
1,2008,Arizona,53.9%,23.329,26.1%,68.4%,0.619,0.926,,0.545,0.222,,,+4.3,1.069,,1.004,,,,71.4,67.0,,115.7%,103.9%,,47.5%,43.8%,,39.6%,74.5%,48.6%,8.3%,18.1%,18.1%,,6.3%,24.6%
2,2008,Arkansas,51.9%,20.765,36.7%,69.5%,0.540,0.947,,0.657,0.571,,,+5.7,1.048,,0.966,,,,74.1,68.3,,109.8%,104.0%,,46.8%,42.6%,,34.1%,67.8%,53.3%,9.7%,21.3%,20.3%,,9.2%,26.6%
3,2008,Austin Peay,51.7%,24.807,29.2%,69.5%,0.586,0.952,,0.686,0.750,,,+3.2,1.058,,1.012,,,,74.0,70.8,,111.6%,113.3%,,44.6%,46.6%,,38.2%,71.3%,48.2%,13.7%,17.7%,23.5%,,4.0%,25.2%
4,2008,Baylor,51.9%,21.969,30.0%,69.4%,0.427,0.969,,0.645,0.400,,,+5.7,1.077,,1.001,,,,80.7,75.0,,111.5%,104.8%,,45.1%,43.0%,,37.3%,74.1%,49.7%,9.9%,16.6%,18.7%,,7.1%,27.6%
5,2008,Belmont,53.2%,19.319,31.6%,70.2%,0.624,0.945,,0.727,0.625,,,+4.8,1.065,,1.000,,,,79.0,74.2,,112.0%,110.2%,,44.7%,45.9%,,36.3%,69.8%,50.9%,11.3%,19.9%,21.5%,,3.2%,25.1%
6,2008,Boise State,57.1%,20.041,29.4%,71.6%,0.619,0.913,,0.727,0.556,,,+4.4,1.070,,1.012,,,,80.6,76.2,,118.3%,107.2%,,50.2%,44.7%,,39.2%,66.2%,51.7%,8.2%,20.5%,19.2%,,3.8%,22.6%
7,2008,Butler,54.1%,22.152,28.5%,69.3%,0.573,0.966,,0.882,0.667,,,+10.4,1.107,,0.940,,,,68.8,58.4,,115.2%,102.0%,,44.9%,43.0%,,38.0%,73.7%,48.9%,10.5%,16.3%,22.2%,,4.9%,27.8%
8,2008,BYU,53.3%,19.274,28.2%,75.4%,0.648,0.925,,0.771,0.571,,,+10.5,1.030,,0.883,,,,73.7,63.2,,111.3%,94.8%,,46.0%,38.9%,,37.3%,65.5%,53.0%,8.3%,19.6%,18.8%,,6.6%,24.7%
9,2008,Clemson,51.9%,16.523,39.4%,67.2%,0.533,0.997,,0.697,0.545,,,+9.2,1.065,,0.940,,,,78.9,69.7,,107.2%,103.7%,,45.6%,43.7%,,37.5%,62.2%,51.2%,13.2%,19.4%,23.7%,,9.5%,26.1%
