,effective-field-goal-pct,ftm-per-100-possessions,offensive-rebounding-pct,defensive-rebounding-pct,assists-per-fgm,effective-possession-ratio,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,effective-field-goal-pct2,ftm-per-100-possessions2,offensive-rebounding-pct2,defensive-rebounding-pct2,assists-per-fgm2,effective-possession-ratio2,RPI2,Win%2,CGWin%2,SOS2,Last 102,Margin2,OffE2,AdjO2,DefE2,AdjD2,EffM2,AdjEM2,PF2,PA2,PFAM2,TrueS%2,OpTS%2,TS%M2,FG%2,OpFG%2,FG%M2,3P%2,FT%2,RB%2,ST/Pos2,TO/Pos2,OpTO/Pos2,TOM2,BL%2,PF/Pos2
effective-field-goal-pct,1.0,-0.18571043401457918,-0.29003749682463253,0.22597878949033082,0.23680686329236061,-0.2277722836406851,0.31850386824792287,0.4088795497362005,0.06552226252518135,-0.0845702457383089,0.2843533373831535,0.500382924108788,0.7656694802430187,0.6344254557265304,0.1407085764852933,0.11388576818831835,0.4904160063908418,0.37651832253359757,0.5599058293399547,0.1517250859221845,0.5017021852715428,0.9490480894542308,0.07948491443175024,0.6729720135860552,0.8807699820566058,0.13295093742259595,0.5359177041013629,0.6929296471523085,0.29295145923859955,0.036763320617893135,-0.13714784844869324,-0.2586291893967145,-0.20973812312865556,-0.05662388448685622,-0.13366289043171997,-0.3375905984733251,-0.02793024701402653,-0.1341830499318825,-0.11827229772016343,0.060693249975884496,-0.08356388022955635,-0.06396385817382301,-0.15990455650290375,-0.1412958236384627,-0.02838210011408155,0.11551717205329966,-0.19057020706774813,-0.15769626391493738,-0.0949204412529004,-0.0687281372960029,0.13519815867291057,0.16594400617537716,-0.16376758668765456,-0.1481128095555317,-0.0018543383709453591,0.1406946099578667,-0.15304597844947482,-0.04921498077774187,0.16421018539150206,-0.14875812986965914,-0.06675888786911058,0.09697932194339946,-0.11014854502778915,-0.046081816041636865,-0.020133425221931095,-0.09837561309467373,-0.04217611092916896,-0.017752069486735418,-0.022997471794697175,-0.02335069520580274,-0.04124378572361292,0.03311256063671739
ftm-per-100-possessions,-0.18571043401457918,1.0,0.32570574721647094,-0.029961055989462727,-0.14111199188171672,0.15841547618361346,0.14845227608787787,0.17273596692181895,0.0341749222537268,-0.004664869256203625,0.0727644255817396,0.10123146959712025,0.12461896633812403,0.09348991897604604,-0.0020595715265672907,-0.03300994813250507,0.09809139104370637,0.08607480237925283,0.10313175311173674,0.02157064981791286,0.09962847456247953,0.02568960738511872,-0.03594986255336242,0.04579266158395113,-0.03116365271470503,-0.021441662010148174,-0.009491877873592647,-0.14124920925822415,0.20332787087571405,0.2900472042432493,-0.0651972290550387,0.0864765919517062,-0.049048827995773925,-0.0023336926349693085,0.06555674981354384,0.199981718360569,-0.078429782546406,0.21341668265293665,0.11901956580565061,-0.09472895358614286,-0.031263029692888036,0.07562397385437049,-0.00678205182416242,0.0309646683626864,0.04216890475596604,0.0641296300919736,0.01987241493063513,0.023777232248943132,0.0069857099476243615,-0.04490691231939299,-0.03209768984035187,-0.014111746634328404,0.027421248396910652,-0.021909047055439723,-0.02612339780290077,-0.050032714544925694,0.02360012470910493,-0.04826651261680913,-0.038263764048636274,-0.010416019625782823,-0.01705859566184884,0.01591751581917224,-0.025645391293234163,-0.004322127831766263,-0.06898404324119807,0.05346532718962327,0.03909804034770364,0.037501026922129074,0.03130912547846794,0.1011565926980434,0.03282570078633079,0.10060634085244957
offensive-rebounding-pct,-0.29003749682463253,0.32570574721647094,1.0,-0.13496519442639135,0.1076282646938192,0.5930707079793683,0.31478761925327714,0.21056222723225393,-0.03448852478695883,-0.21427806547055767,0.3538374754078344,0.2804163318486182,0.08881098388637435,0.17265903564312238,-0.27622457385192967,-0.31818030181035467,0.2710354553597896,0.3169887294659827,0.09159000583052614,-0.1503445690348754,0.2803416760113846,-0.30178170611871363,-0.2780938192336856,-0.02782630996126338,-0.07576591922925768,-0.2695931666054247,0.13433906364444373,-0.29124248422215293,-0.2790413175222803,0.714942852660768,0.1748571744912224,0.3506426633092534,0.12468761601902949,-0.054184722761267415,0.36366638810785507,0.05916789792006574,-0.10638558398388338,0.11516086470935355,0.09237402721677841,-0.18736086167599939,-0.0038856830906364953,0.005308708341558213,-0.06467773668557918,0.00016878408034440276,0.038188979822262624,0.08373947927762565,0.07074247467352335,-0.02784384943353172,-0.07967200256830892,-0.12540432842320162,-0.05375364212486598,-0.011930347519211848,-0.02141327551117633,-0.07796962591297071,-0.09322992268439115,-0.0747425279154643,-0.027129888937633653,-0.08332416354683055,-0.06446700141785588,-0.01951031111362703,-0.06468746950717066,-0.00051546544689408,-0.04739666084771482,-0.015817308297543742,-0.05475147128203955,-0.019924918569548998,0.05060766006582913,0.12695669173320132,0.08322723071721502,0.04775095443165127,-0.025040541862733433,0.0323430294361947
defensive-rebounding-pct,0.22597878949033082,-0.029961055989462727,-0.13496519442639135,1.0,-0.0024784299100588806,0.01904953794100376,0.2137045003220724,0.29697961223111313,0.06852532199723083,-0.03198817521820442,-0.00029077562561975913,0.2864103240146088,0.22897803942530523,0.1719575430453952,-0.1738079231965821,-0.18126434276138986,0.3046976172539768,0.2323791865189725,0.054771217123513766,-0.19810096770003982,0.2901134866139531,0.23329746947417007,-0.0599001065742564,0.22544443281638465,0.22659780514861175,-0.1303644112404537,0.25718563366975306,0.09487870811582681,0.10544642004368009,0.5063111388178937,-0.3853188922520046,-0.2446939195909394,-0.3582470659307963,-0.1505099166641664,-0.1595615673234106,-0.15105738082243295,0.12356678371659213,-0.12267549494772781,-0.23136510678254105,0.11920257425093655,-0.10284801547976627,-0.09033494584328061,-0.09566782976545898,-0.08777495996041974,-0.04748975297178253,0.06279241440339176,-0.23204138216691564,-0.0798427300370158,0.05289731134763465,0.045328563825306104,0.17851445073921848,0.14895273501066958,-0.08489196866204209,-0.060187898157258175,0.08851323362289079,0.16534840203252926,-0.07548427096193713,0.11518685106297245,0.17086416359200868,-0.030112007003584046,0.04827698480470224,0.13328778622761872,-0.05155246774839943,0.05444502082546886,0.07810398288389282,-0.10955243476662192,-0.07783777030676536,-0.12991477105070529,-0.10592646078328075,-0.13357108963753975,-0.03198247728377664,-0.038264184920139534
assists-per-fgm,0.23680686329236061,-0.14111199188171672,0.1076282646938192,-0.0024784299100588806,1.0,-0.02023812037279734,0.1813532781119981,0.18268105593328782,0.08082912034136953,-0.10769668526844349,0.2619244067252096,0.21315943948936117,0.18485826566075153,0.17677189444089278,-0.09985419924025014,-0.12535989448912147,0.21636718321684406,0.20142182402773443,0.08022474195406629,-0.1030455297687426,0.21313272239839426,0.19622016235205067,-0.05799102961747485,0.192210935342349,0.22060973752018798,-0.0316551138060841,0.18048478544084423,0.19417060342124307,-0.02359517669050531,0.13467175869909084,0.08610536967614817,0.09186146769372862,0.08181717097011201,0.04590082790785548,-0.037904999376611966,-0.07371272706830141,-0.08125924934272391,0.05780565772284141,0.03803505873516692,-0.11634574637291911,-0.048932083174909026,-0.07540959829605655,-0.08890871007603439,-0.05669160323331161,0.025560826165510305,0.08125310447029845,-0.018784022104922134,-0.09447755077194298,-0.11097451613199055,-0.11745312791807243,0.023514923285427432,0.0650120576530082,-0.09809955559163987,-0.11957323553826722,-0.05056776036123151,0.034569928876067274,-0.09527982678379908,-0.06804955833619022,-0.004963625930124779,-0.047168674573328254,-0.0226563792932432,-0.01204628496062719,-0.007373327066757318,-0.05815879073409092,-0.04065146568645803,-0.038525367153855766,0.03048362469819204,0.13266934575080652,0.03015050604681553,-0.028454669457755846,-0.007237920445469462,0.004064949254751284
effective-possession-ratio,-0.2277722836406851,0.15841547618361346,0.5930707079793683,0.01904953794100376,-0.02023812037279734,1.0,0.41664671589407953,0.2885852245736641,-0.022751101855584047,-0.32144565706262873,0.364163509281478,0.3905223743954917,0.373127518772236,0.44123996645693525,-0.13943275385066126,-0.24427627541203822,0.3912545433922776,0.4606023505142741,0.2309671395186872,-0.09888676066705193,0.3897353220888984,-0.2692420633005825,-0.13874440686806702,-0.10591171804943401,-0.1584467636346248,-0.06930683794043035,-0.06324746343647289,-0.17103819209260324,-0.12018430415320033,0.39080021368797724,0.0509575766864981,-0.4994828786352705,-0.0002655291782719785,0.3633620680822728,0.1990065578148139,-0.11252166158522187,-0.03274662227784917,0.10194752234343078,-0.004891365300399869,-0.04721931154257674,-0.02217445080039075,-0.009730305296866642,-0.11424567909035332,-0.07890256313697601,-0.0191930179806942,0.06854505202071949,-0.06718064943656574,-0.0740362325424041,-0.01839992566304029,-0.06815399015273789,0.07714678281590984,0.09868060105318245,-0.06709327378326041,-0.10662663358427425,-0.04536060422476273,0.017699159842209974,-0.07119089066793623,-0.0008079566662806357,0.043537739231870105,-0.03156848401665313,-0.044583292959742914,0.057637960771367305,-0.06976958567062415,0.04265061232833746,0.04037047627985654,-0.021161940303534642,-0.043224195426049175,0.02340136423573265,-0.04010591345900198,-0.016057348476381194,-0.06779619917490522,0.07026492392144809
RPI,0.31850386824792287,0.14845227608787787,0.31478761925327714,0.2137045003220724,0.1813532781119981,0.41664671589407953,1.0,0.7189917664210598,0.2144163979642746,-0.6828641323543354,0.7073907255472849,0.7103789263356679,0.5371307771818777,0.7071068660050163,-0.3989770960847132,-0.6628041430468956,0.7103870147862519,0.9057675645830814,0.33841064296235485,-0.26572891047573866,0.7083493400915039,0.29530091263422387,-0.428512419815478,0.5449662970451199,0.3768390130965235,-0.3433326181350976,0.5154499314560748,0.1185606619383126,0.09322830124719997,0.4469909300676217,0.05500094898053256,-0.26760162122973147,-0.03326290490562453,0.09758796288708892,0.2883552979843408,-0.3154486145416397,-0.09360362674990964,-0.030142007734453566,-0.10664835035613973,-0.04646289575568809,-0.0641025703273526,-0.12720009401234933,-0.3412389252269845,-0.21139979422188523,-0.06156398409275004,0.31352092684274363,-0.28352666872151144,-0.23182483181223118,-0.16364640171770617,-0.24663921250015886,0.1602504438391056,0.250358896641743,-0.2318254525927786,-0.3206096301375758,-0.09610628302072015,0.10803774189594154,-0.22653520354274212,-0.07910415983020323,0.19002543059523927,-0.19059285415438193,-0.11687352869992855,0.17445919039181354,-0.19700647442052563,-0.03556251584360948,-0.02989489790735769,-0.13342195866234804,-0.0338640990070486,0.09484884059252746,0.002198175354267045,-0.08514966406165231,-0.12940038494200778,0.15484794230762908
Win%,0.4088795497362005,0.17273596692181895,0.21056222723225393,0.29697961223111313,0.18268105593328782,0.2885852245736641,0.7189917664210598,1.0,0.37663353129546717,-0.10282636528001995,0.5050264704149816,0.83069499435904,0.5643822606704393,0.4708871170216218,-0.5413989846445908,-0.48819799096002886,0.835759725594404,0.6318713028573777,0.3351679614942104,-0.3765961850694134,0.8297719534795843,0.4113129984379529,-0.451763893480879,0.6522320809971586,0.4591162673905436,-0.3673958850231162,0.5885741996651312,0.2213189450763551,0.09832314864429906,0.42339956358588066,0.14409481240512229,-0.24430855708735374,0.10377526526547173,0.20633528474241158,0.2007280759963788,-0.2309334112018459,-0.0639290225650255,-0.0229756876901798,-0.0401288462699471,-0.056268519962983654,-0.07174390159827357,-0.07492218113684607,-0.24069358358658124,-0.15559379822274855,-0.038262837729574055,0.21774114074342402,-0.1908156098361633,-0.1618694703635672,-0.0998142214611608,-0.16139607494931624,0.127818292937054,0.18244952071183138,-0.16227557127007605,-0.221176271007656,-0.0662105620705511,0.07668080550686579,-0.1584815266371266,-0.05415755138244187,0.1673889293020184,-0.15661221112120532,-0.07726319749768927,0.13649294009925775,-0.14423305129292735,-0.0013095478767699445,-0.023104984031131752,-0.08327614313660943,0.01908435350829389,0.0782520290470939,0.039626322426742834,-0.017425659378571618,-0.10880930168955148,0.12314317702961565
CGWin%,0.06552226252518135,0.0341749222537268,-0.03448852478695883,0.06852532199723083,0.08082912034136953,-0.022751101855584047,0.2144163979642746,0.37663353129546717,1.0,0.025069359858141387,0.049663793546034174,0.08185025499046394,0.04447847668519512,0.035101946509293894,-0.06676529409183785,-0.0467017777165218,0.08348470509333189,0.053420381390392666,0.03080340651248165,-0.040952329632754886,0.08342851777424007,0.06213458869521899,-0.07135088099242037,0.1018872994722032,0.04120695320840024,-0.056160951093835655,0.07064612329858322,0.0005043139149570041,0.04131101524089944,0.028862765068756804,-0.0008889698932475306,-0.021097986451229837,-0.027236566885262967,-0.0236456481858014,0.0077660938838150706,-0.06318381715737259,-0.014579172790039207,-0.005999793183609372,4.6511706165749894e-05,0.03698298068963394,-0.07982515728333986,0.01585386535645427,-0.06303773991998882,-0.07017242686261932,-0.08145014779627639,0.03088176012525942,-0.038703720184127176,-0.04637315634489816,-0.0015183673751482142,0.010642420345858654,0.06609454809543618,0.0745659151601354,-0.04699729528649565,-0.03832116806908538,-0.006753197702682254,0.038154920945181636,-0.04871152024689634,-0.011133133190454699,0.06491556838922646,-0.0539590942486348,-0.0084196556334119,0.029238085645995296,-0.024495186322795605,0.0012949360645016018,0.02807506491815131,0.023341536916754887,-0.02599871734160529,-0.02673081826996053,-0.051941692259515934,-0.048991647257714696,0.029544502512117276,0.039265941492189614
SOS,-0.0845702457383089,-0.004664869256203625,-0.21427806547055767,-0.03198817521820442,-0.10769668526844349,-0.32144565706262873,-0.6828641323543354,-0.10282636528001995,0.025069359858141387,1.0,-0.5863887024639873,-0.26517707336094837,-0.24907218465644076,-0.5875748729375025,0.0919536566491041,0.49892522710281406,-0.26137558225499563,-0.7208861995437562,-0.16817639120966119,0.052008400020964234,-0.2615293078295622,-0.050402356995011645,0.20512943209969925,-0.1899031367204782,-0.10444927975270098,0.14380860123179467,-0.1798144303895636,0.022301422199196577,-0.06510570169631671,-0.2100652285793025,0.028073119892339373,0.19283346285875638,0.12910701014765813,0.007295628447318281,-0.21618859679253286,0.26313285499660755,0.06285417209926557,0.06407936676280007,0.1050710875102336,0.012988176020972428,-0.008151195995013561,0.13168404094634836,0.25247965425162067,0.1437029456852573,0.04050347343320928,-0.21278476109952224,0.18888103361438718,0.16827888072387595,0.15145741709644472,0.2003546906535857,-0.08187273327211345,-0.1722941567793491,0.16843887654487727,0.24145435472524757,0.0734329354609593,-0.07423479570856815,0.16416971871703576,0.057997261372208814,-0.09367240989313746,0.1080479966088069,0.07353158601166428,-0.08509368217333634,0.10786027446944445,0.05179195146081239,0.05362870657231905,0.09858808776428471,0.050704451185617005,-0.09795299006743638,0.013140911230618163,0.10244921318599719,0.06866567297920025,-0.07411774129893198
Last 10,0.2843533373831535,0.0727644255817396,0.3538374754078344,-0.00029077562561975913,0.2619244067252096,0.364163509281478,0.7073907255472849,0.5050264704149816,0.049663793546034174,-0.5863887024639873,1.0,0.6724471980294077,0.47045592271756614,0.6186923596067426,-0.40564506100026293,-0.5504687772283263,0.663291252096018,0.774458744069588,0.33169260220567054,-0.23985673586447886,0.671003178836965,0.25182497588329206,-0.3754770505208812,0.4711331314516215,0.3346777246741401,-0.28763532289599664,0.44247122029103,0.16383355674828154,0.09254359788001076,0.3358116118653468,0.15462670121471886,-0.15182265051884722,0.1404167986234404,0.1669198271527128,0.21053761451726555,-0.23390203705754414,-0.11821017732473611,-0.016690349296364995,0.05723922137931757,-0.16007065464764217,0.001446973149754438,-0.06738376948642666,-0.21858984040026208,-0.11068985944029862,0.040153009607257005,0.1973901185099871,0.005320812980600595,-0.16187834313313543,-0.16819270482009005,-0.18862881753662322,0.06069407733056016,0.17410356046689085,-0.16607022850313718,-0.23458904220086815,-0.08838156235786351,0.05499188206769219,-0.1607280587691032,-0.12301687231460813,0.08772088250076625,-0.15291041196531902,-0.10200595724668368,0.10199118419323261,-0.13941581981384088,-0.07176529879994865,-0.11522073683279399,-0.06865592419709797,0.00020772714693511314,0.1932608967441973,0.08872148048623851,-0.0513989229682078,-0.058338542154322395,0.08856927956625545
