,ftm-per-100-possessions2,ftm-per-100-possessions,ST/Pos,ST/Pos2,Margin2,Margin,Last 102,TS%M2,Last 10,FG%M2,TS%M,BL%2,FG%M,BL%,CGWin%2,CGWin%,Ind,SOS2,SOS,TOM2,TOM,Team1Win
0,24.294,21.187,0.103,0.106,16.3,2.6,28.7,0.127,3.9,0.06,0.061,0.071,0.031,0.067,0.833,0.375,0,24,278,0.02,0.01,0
1,20.765,25.296,0.102,0.099,7.1,10.4,19.4,0.067,26.4,0.048,0.153,0.094,0.054000000000000006,0.067,0.5710000000000001,0.636,1,230,59,-0.006999999999999999,-0.005,0
2,21.109,22.497,0.086,0.087,10.1,7.6,22.6,0.147,14.6,0.047,0.113,0.058,0.05,0.059,0.4,0.28600000000000003,2,68,171,-0.006999999999999999,-0.003,0
3,22.403,17.308,0.126,0.105,10.0,6.3,23.4,0.13699999999999998,14.4,0.056,0.04,0.059,0.045,0.067,0.75,0.14300000000000002,3,29,159,0.047,0.033,0
4,21.225,22.799,0.107,0.098,5.0,6.1,21.9,0.063,13.5,0.036000000000000004,0.097,0.071,0.043,0.085,0.75,0.333,4,15,75,0.001,0.02,0
5,20.041,19.204,0.118,0.08199999999999999,5.1,10.6,10.9,0.121,18.9,0.058,0.138,0.039,0.07,0.08800000000000001,0.556,0.444,5,235,33,-0.012,0.013,1
6,25.357,22.152,0.102,0.08900000000000001,10.1,10.6,15.2,0.141,23.1,0.06,0.134,0.053,0.021,0.051,0.5,0.75,6,230,105,-0.001,0.059,1
7,23.219,21.113000000000003,0.124,0.073,3.3,11.5,2.8,0.094,26.6,0.03,0.051,0.052000000000000005,0.02,0.058,0.5,0.833,7,259,30,-0.024,0.068,1
8,24.294,20.765,0.099,0.106,16.3,7.1,28.7,0.127,19.4,0.06,0.067,0.071,0.048,0.094,0.833,0.5710000000000001,8,24,230,0.02,-0.006999999999999999,0
9,22.403,21.109,0.087,0.105,10.0,10.1,23.4,0.13699999999999998,22.6,0.056,0.147,0.059,0.047,0.058,0.75,0.4,9,29,68,0.047,-0.006999999999999999,0
10,19.204,21.225,0.098,0.118,10.6,5.0,18.9,0.138,21.9,0.07,0.063,0.08800000000000001,0.036000000000000004,0.071,0.444,0.75,10,33,15,0.013,0.001,0
11,21.113000000000003,22.152,0.102,0.124,11.5,10.6,26.6,0.051,23.1,0.02,0.134,0.058,0.021,0.051,0.833,0.75,11,30,105,0.068,0.059,0
12,22.403,24.294,0.106,0.105,10.0,16.3,23.4,0.13699999999999998,28.7,0.056,0.127,0.059,0.06,0.071,0.75,0.833,12,29,24,0.047,0.02,1
