,Year,Team,effective-field-goal-pct,ftm-per-100-possessions,offensive-rebounding-pct,defensive-rebounding-pct,assists-per-fgm,effective-possession-ratio,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
0,2008,american,0.52,23.219,0.31,0.73,0.559,0.911,0.544,0.656,0.5,259,2.8,3.3,1.034,107.9,0.981,106.3,0.053,1.6,65.1,61.8,3.3,1.136,1.042,0.094,0.443,0.413,0.03,0.409,0.743,0.52,0.073,0.211,0.187,-0.024,0.052,0.278
1,2008,arizona,0.54,23.329,0.26,0.68,0.619,0.926,0.585,0.562,0.222,1,22,4.8,1.07,116.4,0.999,97.3,0.071,19.1,71.6,66.8,4.8,1.156,1.032,0.124,0.476,0.436,0.04,0.396,0.743,0.485,0.084,0.18,0.182,0.002,0.064,0.247
2,2008,arkansas,0.52,20.765,0.37,0.70,0.54,0.947,0.599,0.688,0.571,230,19.4,7.1,1.044,111.4,0.945,96.2,0.099,15.2,74.2,67.1,7.1,1.094,1.027,0.067,0.466,0.418,0.048,0.346,0.674,0.538,0.099,0.216,0.209,-0.007,0.094,0.268
3,2008,austin peay,0.52,24.807,0.29,0.70,0.586,0.952,0.548,0.706,0.75,249,6.1,3.9,1.063,104.6,1.007,104.9,0.056,-0.3,74.6,70.7,3.9,1.126,1.132,-0.006,0.451,0.466,-0.015,0.386,0.714,0.483,0.139,0.178,0.236,0.058,0.04,0.25
4,2008,baylor,0.52,21.969,0.30,0.69,0.427,0.969,0.577,0.667,0.4,64,19.2,6.3,1.078,115.7,0.994,100.9,0.084,14.8,80.7,74.5,6.2,1.119,1.043,0.076,0.453,0.428,0.025,0.376,0.741,0.498,0.098,0.166,0.187,0.021,0.073,0.279
5,2008,belmont,0.53,19.319,0.32,0.70,0.624,0.945,0.549,0.75,0.714,275,10.2,5,1.067,106.2,1,106.2,0.067,0,79.3,74.3,5,1.122,1.104,0.018,0.447,0.46,-0.013,0.363,0.698,0.511,0.114,0.199,0.215,0.016,0.032,0.25
6,2008,boise state,0.57,20.041,0.29,0.72,0.619,0.913,0.547,0.75,0.556,235,10.9,5.1,1.075,108.7,1.007,104.8,0.068,3.9,81.2,76.1,5.1,1.187,1.066,0.121,0.502,0.444,0.058,0.396,0.666,0.516,0.082,0.203,0.191,-0.012,0.039,0.227
7,2008,butler,0.54,22.152,0.29,0.69,0.573,0.966,0.612,0.906,0.75,105,23.1,10.6,1.109,116.2,0.937,96.2,0.172,20,68.3,57.8,10.5,1.153,1.019,0.134,0.45,0.429,0.021,0.376,0.737,0.491,0.102,0.163,0.222,0.059,0.051,0.275
8,2008,byu,0.53,19.274,0.28,0.75,0.648,0.925,0.599,0.794,0.667,112,23.6,10.9,1.029,107.4,0.877,91.7,0.152,15.7,74.1,63.1,11,1.115,0.941,0.174,0.461,0.386,0.075,0.375,0.658,0.533,0.082,0.198,0.188,-0.01,0.067,0.246
9,2008,clemson,0.52,16.523,0.39,0.67,0.533,0.997,0.61,0.742,0.6,28,22.3,10.2,1.072,114,0.934,91.9,0.138,22.1,79.1,69,10.1,1.078,1.029,0.049,0.46,0.434,0.026,0.381,0.627,0.517,0.131,0.194,0.236,0.042,0.094,0.26
