,Year,Team,points-per-game,offensive-efficiency,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
0,2008,American,64.5,1.018,0.544,0.6559999999999999,0.5,259.0,2.8,3.3,1.034,107.9,0.981,106.3,0.053,1.6,65.1,61.8,3.3,1.136,1.042,0.094,0.44299999999999995,0.413,0.03,0.409,0.743,0.52,0.073,0.21100000000000002,0.187,-0.024,0.052000000000000005,0.278
1,2008,Arizona,72.3,1.089,0.585,0.562,0.222,1.0,22.0,4.8,1.07,116.4,0.9990000000000001,97.3,0.071,19.1,71.6,66.8,4.8,1.156,1.032,0.124,0.47600000000000003,0.436,0.04,0.396,0.743,0.485,0.084,0.18,0.182,0.002,0.064,0.247
2,2008,Arkansas,74.6,1.007,0.599,0.688,0.5710000000000001,230.0,19.4,7.1,1.044,111.4,0.945,96.2,0.099,15.2,74.2,67.1,7.1,1.094,1.0270000000000001,0.067,0.466,0.418,0.048,0.34600000000000003,0.674,0.5379999999999999,0.099,0.21600000000000003,0.209,-0.006999999999999999,0.094,0.268
3,2008,Austin Peay,74.5,1.050,0.5479999999999999,0.706,0.75,249.0,6.1,3.9,1.063,104.6,1.0070000000000001,104.9,0.055999999999999994,-0.3,74.6,70.7,3.9,1.126,1.1320000000000001,-0.006,0.451,0.466,-0.015,0.386,0.7140000000000001,0.483,0.139,0.17800000000000002,0.23600000000000002,0.057999999999999996,0.04,0.25
4,2008,Baylor,75.2,1.079,0.5770000000000001,0.667,0.4,64.0,19.2,6.3,1.078,115.7,0.9940000000000001,100.9,0.084,14.8,80.7,74.5,6.2,1.119,1.043,0.076,0.45299999999999996,0.428,0.025,0.376,0.741,0.498,0.098,0.166,0.187,0.021,0.073,0.27899999999999997
5,2008,Belmont,76.6,1.057,0.5489999999999999,0.75,0.7140000000000001,275.0,10.2,5.0,1.067,106.2,1.0,106.2,0.067,0.0,79.3,74.3,5.0,1.122,1.104,0.018000000000000002,0.447,0.46,-0.013000000000000001,0.363,0.698,0.511,0.114,0.19899999999999998,0.215,0.016,0.032,0.25
6,2008,Boise State,71.9,1.002,0.547,0.75,0.556,235.0,10.9,5.1,1.075,108.7,1.0070000000000001,104.8,0.068,3.9,81.2,76.1,5.1,1.187,1.0659999999999998,0.121,0.502,0.444,0.057999999999999996,0.396,0.6659999999999999,0.516,0.08199999999999999,0.203,0.191,-0.012,0.039,0.22699999999999998
7,2008,Butler,67.1,1.046,0.612,0.9059999999999999,0.75,105.0,23.1,10.6,1.109,116.2,0.937,96.2,0.172,20.0,68.3,57.8,10.5,1.153,1.0190000000000001,0.134,0.45,0.429,0.021,0.376,0.737,0.491,0.102,0.163,0.222,0.059000000000000004,0.051,0.275
8,2008,BYU,76.8,1.091,0.599,0.794,0.667,112.0,23.6,10.9,1.0290000000000001,107.4,0.877,91.7,0.152,15.7,74.1,63.1,11.0,1.115,0.941,0.174,0.461,0.386,0.075,0.375,0.6579999999999999,0.5329999999999999,0.08199999999999999,0.198,0.188,-0.01,0.067,0.24600000000000002
9,2008,Clemson,78.3,1.087,0.61,0.742,0.6,28.0,22.3,10.2,1.072,114.0,0.934,91.9,0.138,22.1,79.1,69.0,10.1,1.078,1.0290000000000001,0.049,0.46,0.434,0.026000000000000002,0.381,0.627,0.517,0.131,0.19399999999999998,0.23600000000000002,0.042,0.094,0.26
10,2008,Connecticut,78.3,1.092,0.611,0.75,0.727,37.0,20.9,9.1,1.07,115.2,0.945,96.3,0.125,18.9,77.7,68.6,9.1,1.109,0.937,0.172,0.46299999999999997,0.384,0.079,0.359,0.7190000000000001,0.542,0.079,0.185,0.16399999999999998,-0.021,0.133,0.209
11,2008,Coppin State,62.9,0.942,0.462,0.41200000000000003,0.5329999999999999,312.0,-7.2,-7.0,0.888,92.4,0.992,106.8,-0.10400000000000001,-14.4,59.1,66.1,-7.0,0.963,1.071,-0.10800000000000001,0.39399999999999996,0.44,-0.046,0.32299999999999995,0.7170000000000001,0.46399999999999997,0.105,0.215,0.24,0.025,0.04,0.28300000000000003
12,2008,Cornell,72.5,1.062,0.5579999999999999,0.8079999999999999,0.833,311.0,4.6,7.6,1.084,110.1,0.976,105.7,0.10800000000000001,4.4,76.6,69.0,7.6,1.1909999999999998,1.043,0.14800000000000002,0.49,0.425,0.065,0.408,0.763,0.505,0.083,0.195,0.2,0.005,0.049,0.261
13,2008,CS-Fullerton,,,0.552,0.742,0.4,222.0,13.7,9.6,1.1079999999999999,112.3,0.9790000000000001,103.9,0.129,8.4,82.5,72.9,9.6,1.143,1.1059999999999999,0.037000000000000005,0.47600000000000003,0.466,0.01,0.385,0.706,0.511,0.11900000000000001,0.179,0.22899999999999998,0.05,0.025,0.253
14,2008,Davidson,77.0,1.062,0.59,0.8059999999999999,0.5,160.0,20.2,14.2,1.1059999999999999,117.0,0.903,93.4,0.203,23.6,77.3,63.1,14.2,1.136,1.026,0.11,0.47200000000000003,0.419,0.053,0.365,0.7290000000000001,0.524,0.11,0.171,0.233,0.062,0.062,0.26
15,2008,Drake,64.2,0.998,0.628,0.867,0.667,95.0,24.1,11.2,1.1179999999999999,120.0,0.9440000000000001,98.5,0.174,21.5,72.3,61.0,11.3,1.133,1.037,0.096,0.444,0.431,0.013000000000000001,0.366,0.765,0.519,0.111,0.17600000000000002,0.22899999999999998,0.053,0.045,0.225
16,2008,Duke,77.5,1.092,0.648,0.8440000000000001,0.4,12.0,33.9,14.8,1.104,116.3,0.909,89.9,0.195,26.4,84.1,69.3,14.8,1.1420000000000001,1.011,0.131,0.465,0.435,0.03,0.384,0.695,0.504,0.114,0.175,0.24100000000000002,0.066,0.067,0.251
