Result,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,Year
Winner,n carolina,0.672,0.939,0.833,24,28.7,16.3,1.131,122.1,0.923,91.9,0.208,30.2,88.8,72.5,16.3,1.135,1.008,0.127,0.482,0.422,0.06,0.377,0.759,0.573,0.106,0.184,0.204,0.02,0.071,0.214,2008
Loser,mt st marys,0.505,0.562,0.375,278,3.9,2.6,0.987,99.3,0.951,100.6,0.036,-1.3,69.1,66.5,2.6,1.075,1.014,0.061,0.446,0.415,0.031,0.367,0.696,0.489,0.103,0.203,0.213,0.01,0.067,0.284,2008
,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,x,x,x,x,x,x,,x,x,x,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,arkansas,0.599,0.688,0.571,230,19.4,7.1,1.044,111.4,0.945,96.2,0.099,15.2,74.2,67.1,7.1,1.094,1.027,0.067,0.466,0.418,0.048,0.346,0.674,0.538,0.099,0.216,0.209,-0.007,0.094,0.268,2008
Loser,indiana,0.603,0.781,0.636,59,26.4,10.4,1.086,114.6,0.935,96.1,0.151,18.5,75.1,64.7,10.4,1.142,0.989,0.153,0.463,0.409,0.054,0.346,0.763,0.548,0.102,0.196,0.191,-0.005,0.067,0.249,2008
,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,x,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
