Year,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
2008,0.73015873,0.666666667,0.571428571,0.571428571,0.698412698,0.793650794,0.650793651,0.714285714,0.698412698,0.714285714,0.761904762,0.873015873,0.587301587,0.666666667,0.793650794,0.444444444,0.587301587,0.53968254,0.587301587,0.587301587,0.571428571,0.428571429,0.444444444,0.714285714,0.619047619,0.650793651,0.53968254,0.603174603,0.634920635,0.523809524
2009,0.73015873,0.698412698,0.53968254,0.746031746,0.714285714,0.698412698,0.634920635,0.698412698,0.571428571,0.714285714,0.698412698,0.73015873,0.682539683,0.46031746,0.698412698,0.523809524,0.507936508,0.555555556,0.555555556,0.46031746,0.53968254,0.53968254,0.476190476,0.650793651,0.587301587,0.587301587,0.492063492,0.555555556,0.555555556,0.634920635
2010,0.698412698,0.714285714,0.507936508,0.634920635,0.698412698,0.682539683,0.603174603,0.682539683,0.666666667,0.746031746,0.698412698,0.761904762,0.53968254,0.603174603,0.682539683,0.523809524,0.587301587,0.634920635,0.571428571,0.555555556,0.587301587,0.53968254,0.634920635,0.603174603,0.46031746,0.53968254,0.571428571,0.587301587,0.571428571,0.46031746
2011,0.587301587,0.555555556,0.396825397,0.682539683,0.650793651,0.523809524,0.634920635,0.634920635,0.523809524,0.571428571,0.555555556,0.698412698,0.650793651,0.507936508,0.53968254,0.53968254,0.571428571,0.571428571,0.53968254,0.476190476,0.571428571,0.492063492,0.53968254,0.53968254,0.476190476,0.619047619,0.412698413,0.53968254,0.476190476,0.666666667
2012,0.714285714,0.603174603,0.53968254,0.634920635,0.746031746,0.650793651,0.603174603,0.650793651,0.634920635,0.714285714,0.666666667,0.777777778,0.603174603,0.634920635,0.650793651,0.555555556,0.650793651,0.555555556,0.555555556,0.714285714,0.666666667,0.507936508,0.412698413,0.619047619,0.603174603,0.507936508,0.507936508,0.523809524,0.682539683,0.571428571
2013,0.682539683,0.587301587,0.46031746,0.619047619,0.603174603,0.587301587,0.571428571,0.650793651,0.571428571,0.650793651,0.555555556,0.73015873,0.555555556,0.571428571,0.587301587,0.476190476,0.53968254,0.476190476,0.53968254,0.53968254,0.555555556,0.412698413,0.507936508,0.523809524,0.666666667,0.571428571,0.603174603,0.603174603,0.53968254,0.444444444
2014,0.650793651,0.682539683,0.46031746,0.650793651,0.634920635,0.650793651,0.571428571,0.666666667,0.587301587,0.666666667,0.666666667,0.634920635,0.53968254,0.587301587,0.650793651,0.555555556,0.619047619,0.650793651,0.53968254,0.619047619,0.650793651,0.619047619,0.444444444,0.666666667,0.492063492,0.587301587,0.507936508,0.523809524,0.53968254,0.619047619
2015,0.746031746,0.603174603,0.476190476,0.682539683,0.761904762,0.73015873,0.650793651,0.777777778,0.603174603,0.698412698,0.73015873,0.825396825,0.682539683,0.555555556,0.746031746,0.619047619,0.587301587,0.666666667,0.587301587,0.555555556,0.682539683,0.53968254,0.428571429,0.666666667,0.46031746,0.698412698,0.492063492,0.587301587,0.507936508,0.523809524
2016,0.698412698,0.650793651,0.46031746,0.666666667,0.746031746,0.698412698,0.761904762,0.73015873,0.587301587,0.682539683,0.698412698,0.777777778,0.587301587,0.523809524,0.698412698,0.666666667,0.603174603,0.682539683,0.650793651,0.619047619,0.682539683,0.571428571,0.73015873,0.476190476,0.571428571,0.571428571,0.555555556,0.603174603,0.476190476,0.698412698
2017,0.714285714,0.571428571,0.46031746,0.587301587,0.698412698,0.634920635,0.634920635,0.714285714,0.650793651,0.761904762,0.619047619,0.761904762,0.603174603,0.587301587,0.650793651,0.523809524,0.650793651,0.555555556,0.53968254,0.698412698,0.619047619,0.476190476,0.476190476,0.650793651,0.587301587,0.619047619,0.476190476,0.634920635,0.53968254,0.53968254
2018,0.698412698,0.603174603,0.396825397,0.682539683,0.714285714,0.634920635,0.587301587,0.634920635,0.650793651,0.714285714,0.650793651,0.698412698,0.492063492,0.571428571,0.634920635,0.555555556,0.603174603,0.666666667,0.571428571,0.53968254,0.587301587,0.492063492,0.444444444,0.507936508,0.571428571,0.492063492,0.476190476,0.555555556,0.53968254,0.571428571
