,Year,Team,points-per-game,offensive-efficiency
0,2008,Duke,77.5,1.092
1,2008,Pittsburgh,77.2,1.134
2,2008,North Carolina,,
3,2008,Oklahoma,78.7,1.113
4,2008,Louisville,74.3,1.062
5,2008,Michigan State,,
6,2008,Memphis,75.1,1.071
7,2008,Connecticut,78.3,1.092
8,2008,Utah,71.0,1.057
9,2008,Missouri,80.8,1.097
10,2008,Kansas,76.4,1.076
11,2008,Syracuse,80.0,1.074
12,2008,Villanova,76.8,1.071
13,2008,Washington,78.3,1.050
14,2008,Florida State,,
15,2008,Wake Forest,81.0,1.059
16,2008,Xavier,71.7,1.048
17,2008,Siena,77.4,1.044
18,2008,Oklahoma State,,
19,2008,West Virginia,,
20,2008,Purdue,69.1,1.019
21,2008,Illinois,64.8,0.998
22,2008,Utah State,72.4,1.150
23,2008,Tennessee,78.4,1.074
24,2008,Butler,67.1,1.046
25,2008,Gonzaga,78.8,1.120
26,2008,Dayton,66.8,0.991
27,2008,Clemson,78.3,1.087
28,2008,BYU,76.8,1.091
29,2008,Arizona State,,
30,2008,Temple,68.6,1.031
31,2008,Ohio State,66.8,1.044
32,2008,UCLA,75.5,1.127
33,2008,Marquette,78.3,1.106
34,2008,Texas A&M,71.6,1.055
35,2008,LSU,74.8,1.065
36,2008,USC,68.5,1.022
37,2008,California,74.9,1.094
38,2008,Texas,72.3,1.040
39,2008,Minnesota,66.0,1.003
40,2008,Western Kentucky,,
41,2008,Michigan,66.6,1.031
42,2008,Wisconsin,63.1,1.041
43,2008,VCU,71.8,1.051
44,2008,Maryland,71.8,1.008
45,2008,Cleveland State,,
46,2008,Boston College,,
47,2008,Northern Iowa,,
48,2008,Mississippi State,,
49,2008,Arizona,72.3,1.089
50,2008,American,64.5,1.018
51,2008,Stephen F. Austin,,
52,2008,North Dakota State,,
53,2008,Binghamton,69.6,1.003
54,2008,Akron,66.3,0.987
55,2008,Robert Morris,,
56,2008,Portland State,,
57,2008,East Tennessee State,,
58,2008,Cornell,72.5,1.062
59,2008,Cal State-Northridge,,
60,2008,Morgan State,,
61,2008,Radford,74.2,0.990
62,2008,Morehead State,,
63,2008,Chattanooga,74.2,1.008
64,2008,Alabama State,,
